PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
1	0.98693355562719	0.974037843222928	0.986414657998462	0.987432759141236	0.974037843222928	0.0291429553321775	0.0765785578557856	TestExample	complete	Afr-Eur	even	odd	1000
2	-0.00354369771158993	1.25577934711277e-05	-0.0231421603350917	0.0160574875910079	0.974050401016399	0.0291429553321775	0.00095026202620262	TestExample	complete	Afr-Eur	even	odd	1000
3	0.00109892951333421	1.20764607527697e-06	-0.0185015389952058	0.0206985536873387	0.974051608662474	0.0291429553321775	0.000564482448244825	TestExample	complete	Afr-Eur	even	odd	1000
4	-0.000241426962570603	5.82869782560673e-08	-0.0198414030754683	0.0193587346448052	0.974051666949453	0.0291429553321775	0.000382473247324732	TestExample	complete	Afr-Eur	even	odd	1000
5	0.000391426654829986	1.53214826111393e-07	-0.0192087907169439	0.0199913432835742	0.974051820164279	0.0291429553321775	0.000312089208920892	TestExample	complete	Afr-Eur	even	odd	1000
6	-1.16205800466814e-05	1.35037880621331e-10	-0.0196116861153337	0.0195884538836282	0.974051820299316	0.0291429553321775	0.00029029402940294	TestExample	complete	Afr-Eur	even	odd	1000
7	0.000855526260023496	7.3192518158979e-07	-0.0187448580629048	0.0204552532608013	0.974052552224498	0.0291429553321775	0.000264316431643164	TestExample	complete	Afr-Eur	even	odd	1000
8	-0.00307700815185352	9.46797916657303e-06	-0.0226757105915077	0.016524058409216	0.974062020203665	0.0291429553321775	0.000244133413341334	TestExample	complete	Afr-Eur	even	odd	1000
9	0.0009932232291803	9.86492382983342e-07	-0.0186072090040395	0.0205928923444302	0.974063006696048	0.0291429553321775	0.000232594259425943	TestExample	complete	Afr-Eur	even	odd	1000
10	0.00207135880767905	4.29052731014957e-06	-0.0175294228675887	0.0216705490120053	0.974067297223358	0.0291429553321775	0.000232092209220922	TestExample	complete	Afr-Eur	even	odd	1000
11	-0.00178640256707109	3.19123413163819e-06	-0.0213857237776911	0.017814291177795	0.974070488457489	0.0291429553321775	0.000230856085608561	TestExample	complete	Afr-Eur	even	odd	1000
12	-0.000789501480814115	6.23312588207681e-07	-0.0203892559737974	0.0188108596059019	0.974071111770078	0.0291429553321775	0.000229447944794479	TestExample	complete	Afr-Eur	even	odd	1000
13	0.000200943580412424	4.03783225089643e-08	-0.0193992028256345	0.0198009355963911	0.9740711521484	0.0291429553321775	0.000228792879287929	TestExample	complete	Afr-Eur	even	odd	1000
14	-0.00257746648397759	6.64333347602779e-06	-0.0221764161663028	0.0170234635183912	0.974077795481876	0.0291429553321775	0.000228402840284028	TestExample	complete	Afr-Eur	even	odd	1000
15	-0.00150086693304034	2.25260155069393e-06	-0.021100316225119	0.0180997355107607	0.974080048083427	0.0291429553321775	0.000227739773977398	TestExample	complete	Afr-Eur	even	odd	1000
16	0.00105219988966361	1.10712460780812e-06	-0.0185482526366291	0.0206518439848571	0.974081155208035	0.0291429553321775	0.000227147714771477	TestExample	complete	Afr-Eur	even	odd	1000
17	-0.00323052581318793	1.04362970296736e-05	-0.0228291503070285	0.0163705807500812	0.974091591505064	0.0291429553321775	0.000227044704470447	TestExample	complete	Afr-Eur	even	odd	1000
18	0.00133178140096846	1.77364169996552e-06	-0.018268765470902	0.0209313050330581	0.974093365146764	0.0291429553321775	0.000227001700170017	TestExample	complete	Afr-Eur	even	odd	1000
19	-0.0030022211300367	9.01333171363883e-06	-0.022600961206981	0.01659882560914	0.974102378478478	0.0291429553321775	0.000226791679167917	TestExample	complete	Afr-Eur	even	odd	1000
20	0.00319659938432905	1.02182476238929e-05	-0.0164044984182155	0.0227952411831779	0.974112596726102	0.0291429553321775	0.000226183618361836	TestExample	complete	Afr-Eur	even	odd	1000
21	0.000813148716653472	6.61210835395188e-07	-0.0187872207119091	0.0204128933827443	0.974113257936937	0.0291429553321775	0.000225567556755676	TestExample	complete	Afr-Eur	even	odd	1000
22	-0.00031939456624985	1.02012888949929e-07	-0.0199193398702044	0.0192807961366657	0.974113359949826	0.0291429553321775	0.000225296529652965	TestExample	complete	Afr-Eur	even	odd	1000
